condition_idx,identity,source_image,transformation,transformation_tier,transformation_category,detector_success,quality_flag_blur,quality_flag_low_light,quality_flag_noise,quality_flag_off_pose,quality_flag_small_face,quality_any_flag,quality_blur_var,quality_luma_mean,quality_noise_sigma,quality_pose_angle,quality_face_px,lbph_name,lbph_distance,lbph_margin,sface_name,sface_cosine,sface_l2,always_lbph_pred,always_lbph_correct,direct_sface_pred,direct_sface_correct,seq_cascade_pred,seq_cascade_correct,seq_cascade_reason,seq_cascade_sface_invoked,quality_only_pred,quality_only_correct,quality_only_reason,early_bypass_pred,early_bypass_correct,early_bypass_reason,early_bypass_routing_path,early_bypass_lbph_invoked,early_bypass_sface_invoked,latency_always_lbph_ms,latency_direct_sface_ms,latency_seq_cascade_ms,latency_quality_only_ms,latency_early_bypass_ms
1,Andrew_Eroyla,dark_name.jpg,brightness_p25,heavy,Brightness change,True,False,False,False,False,False,False,2120.1,89.91,4.934,1.84,77,Andrew_Eroyla,63.2998,0.0898,Andrew_Eroyla,0.92,0.3999,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.958,9.353,4.954,4.768,4.946
2,Andrew_Eroyla,dark_name.jpg,brightness_p20,medium,Brightness change,True,False,False,False,False,False,False,1954.546,86.3,4.733,1.88,77,Andrew_Eroyla,63.5415,0.0846,Andrew_Eroyla,0.9166,0.4083,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.52,9.879,4.953,4.798,4.46
3,Andrew_Eroyla,dark_name.jpg,brightness_p10,light,Brightness change,True,False,False,False,False,False,False,1641.633,79.04,4.333,1.85,77,Andrew_Eroyla,62.7851,0.0992,Andrew_Eroyla,0.9126,0.4181,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,5.003,8.059,4.469,4.626,4.678
4,Andrew_Eroyla,dark_name.jpg,monochrome,light,Colour to monochrome,True,False,False,False,False,False,False,1354.388,72.22,3.913,2.64,74,Andrew_Eroyla,63.034,0.0896,Andrew_Eroyla,0.8676,0.5146,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.458,7.972,4.608,4.487,4.495
5,Andrew_Eroyla,dark_name.jpg,jpeg_q30,heavy,JPEG compression,True,False,False,False,False,False,False,840.337,72.24,1.425,1.64,79,Andrew_Eroyla,70.9556,0.0385,Andrew_Eroyla,0.8399,0.5659,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.449,9.42,12.917,4.647,12.916
6,Andrew_Eroyla,dark_name.jpg,jpeg_q60,medium,JPEG compression,True,False,False,False,False,False,False,1130.028,72.24,2.03,1.37,78,Andrew_Eroyla,66.0238,0.0608,Andrew_Eroyla,0.8795,0.491,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.95,8.634,5.252,4.836,4.653
7,Andrew_Eroyla,dark_name.jpg,jpeg_q80,light,JPEG compression,True,False,False,False,False,False,False,1365.057,72.23,3.007,1.92,78,Andrew_Eroyla,65.1866,0.0688,Andrew_Eroyla,0.8991,0.4491,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.858,10.787,5.117,6.359,4.909
8,Andrew_Eroyla,dark_name.jpg,color_8bit,medium,Colour reduction,True,False,False,False,False,False,False,2056.596,70.49,5.531,1.37,72,Andrew_Eroyla,78.4918,0.0342,Andrew_Eroyla,0.6725,0.8093,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.315,9.406,13.05,4.497,13.932
9,Andrew_Eroyla,dark_name.jpg,rgb565,light,Colour reduction,True,False,False,False,False,False,False,1378.958,71.74,4.229,1.43,78,Andrew_Eroyla,64.8028,0.0777,Andrew_Eroyla,0.9056,0.4344,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,5.045,9.939,4.783,4.978,5.998
10,Andrew_Eroyla,dark_name.jpg,gaussnoise_12,heavy,Gaussian noise,True,False,False,True,False,False,True,2598.898,71.88,9.786,3.46,75,Andrew_Eroyla,71.6594,0.0273,Andrew_Eroyla,0.8188,0.6019,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:noise,True,Andrew_Eroyla,True,quality_router_sface:noise,Andrew_Eroyla,True,quality:noise,quality_triggered_sface,False,True,4.495,8.952,13.514,8.414,8.993
