config_id,radius,neighbors,grid_x,grid_y,feature_bytes_per_template,mean_rank1_percent,min_rank1_percent,mean_tpir_percent,min_tpir_percent,total_seconds
r1_n8_g4x4,1,8,4,4,16384,26.428571428571427,3.5714285714285716,7.5,0.0,2.1854835000121966
r1_n8_g6x6,1,8,6,6,36864,27.142857142857146,0.0,8.214285714285714,0.0,2.7759781000204384
r1_n8_g8x8,1,8,8,8,65536,25.0,0.0,9.285714285714286,0.0,3.751887299993541
r1_n8_g10x10,1,8,10,10,102400,24.285714285714285,0.0,11.785714285714285,0.0,4.8110761000425555
r2_n8_g4x4,2,8,4,4,16384,31.071428571428573,3.5714285714285716,12.142857142857142,0.0,1.9519119000178762
r2_n8_g6x6,2,8,6,6,36864,30.0,3.5714285714285716,13.928571428571427,0.0,2.5194319000001997
r2_n8_g8x8,2,8,8,8,65536,28.214285714285715,0.0,15.0,0.0,3.488714599981904
r2_n8_g10x10,2,8,10,10,102400,25.714285714285715,0.0,13.214285714285717,0.0,4.412812100024894
r3_n8_g4x4,3,8,4,4,16384,34.642857142857146,3.5714285714285716,17.142857142857146,0.0,1.7780721000162885
r3_n8_g6x6,3,8,6,6,36864,36.07142857142857,3.5714285714285716,17.5,0.0,2.3950970000005327
r3_n8_g8x8,3,8,8,8,65536,30.0,10.714285714285714,15.714285714285714,0.0,3.23256879998371
r3_n8_g10x10,3,8,10,10,102400,25.35714285714286,3.5714285714285716,12.500000000000002,0.0,4.387384900008328
