algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
lbph,severity,heavy,30,308,9.74025974025974,30,274,10.94890510948905,34,0
lbph,severity,light,81,476,17.016806722689076,81,458,17.685589519650655,18,0
lbph,severity,medium,43,364,11.813186813186814,43,357,12.044817927170868,7,0
lbph,transform,aspect_16_9,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,aspect_6_3,4,28,14.285714285714286,4,28,14.285714285714286,0,0
lbph,transform,autolevel,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,blur_3,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lbph,transform,blur_5,3,28,10.714285714285714,3,28,10.714285714285714,0,0
lbph,transform,blur_7,3,28,10.714285714285714,3,28,10.714285714285714,0,0
lbph,transform,brightness_p10,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,brightness_p20,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,brightness_p25,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,color_8bit,3,28,10.714285714285714,3,23,13.043478260869565,5,0
lbph,transform,crop_60,2,28,7.142857142857143,2,28,7.142857142857143,0,0
lbph,transform,crop_70,2,28,7.142857142857143,2,28,7.142857142857143,0,0
lbph,transform,crop_90,7,28,25.0,7,28,25.0,0,0
lbph,transform,flip_lr,2,28,7.142857142857143,2,28,7.142857142857143,0,0
lbph,transform,gaussnoise_12,4,28,14.285714285714286,4,27,14.814814814814815,1,0
lbph,transform,gaussnoise_4,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lbph,transform,gaussnoise_8,4,28,14.285714285714286,4,28,14.285714285714286,0,0
lbph,transform,histeq,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,jpeg_q30,3,28,10.714285714285714,3,28,10.714285714285714,0,0
lbph,transform,jpeg_q60,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lbph,transform,jpeg_q80,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,monochrome,6,28,21.428571428571427,6,26,23.076923076923077,2,0
lbph,transform,persp_10,2,28,7.142857142857143,2,28,7.142857142857143,0,0
lbph,transform,persp_4,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lbph,transform,persp_6,4,28,14.285714285714286,4,28,14.285714285714286,0,0
lbph,transform,rgb565,5,28,17.857142857142858,5,28,17.857142857142858,0,0
lbph,transform,rot_10,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
lbph,transform,rot_180,1,28,3.5714285714285716,1,27,3.7037037037037037,1,0
lbph,transform,rot_25,0,28,0.0,0,27,0.0,1,0
lbph,transform,rot_270,0,28,0.0,0,16,0.0,12,0
lbph,transform,rot_45,2,28,7.142857142857143,2,18,11.11111111111111,10,0
lbph,transform,rot_90,0,28,0.0,0,12,0.0,16,0
lbph,transform,scale_50,0,28,0.0,0,20,0.0,8,0
lbph,transform,scale_70,4,28,14.285714285714286,4,28,14.285714285714286,0,0
lbph,transform,scale_90,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,skew_10,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,skew_4,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,skew_6,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,transform,trans_10,3,28,10.714285714285714,3,28,10.714285714285714,0,0
lbph,transform,trans_20,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
lbph,transform,trans_30,2,28,7.142857142857143,2,25,8.0,3,0
lbph,category,Aspect ratio change,10,56,17.857142857142858,10,56,17.857142857142858,0,0
lbph,category,Auto-levels,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,category,Blur,11,84,13.095238095238095,11,84,13.095238095238095,0,0
lbph,category,Brightness change,18,84,21.428571428571427,18,84,21.428571428571427,0,0
lbph,category,Colour reduction,8,56,14.285714285714286,8,51,15.686274509803921,5,0
lbph,category,Colour to monochrome,6,28,21.428571428571427,6,26,23.076923076923077,2,0
lbph,category,Crop,11,84,13.095238095238095,11,84,13.095238095238095,0,0
lbph,category,Flip,2,28,7.142857142857143,2,28,7.142857142857143,0,0
lbph,category,Gaussian noise,13,84,15.476190476190476,13,83,15.662650602409638,1,0
lbph,category,Histogram equalization,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lbph,category,JPEG compression,14,84,16.666666666666668,14,84,16.666666666666668,0,0
lbph,category,Perspective,11,84,13.095238095238095,11,84,13.095238095238095,0,0
lbph,category,Rotation,1,84,1.1904761904761905,1,55,1.8181818181818181,29,0
lbph,category,Scaling,10,84,11.904761904761905,10,76,13.157894736842104,8,0
lbph,category,Simple rotation,3,84,3.5714285714285716,3,73,4.109589041095891,11,0
lbph,category,Skew,18,84,21.428571428571427,18,84,21.428571428571427,0,0
lbph,category,Translation,6,84,7.142857142857143,6,81,7.407407407407407,3,0
ltp,severity,heavy,20,308,6.4935064935064934,20,274,7.299270072992701,34,0
ltp,severity,light,48,476,10.084033613445378,48,458,10.480349344978166,18,0
ltp,severity,medium,23,364,6.318681318681318,23,357,6.442577030812325,7,0
ltp,transform,aspect_16_9,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,aspect_6_3,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,autolevel,4,28,14.285714285714286,4,28,14.285714285714286,0,0
ltp,transform,blur_3,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,blur_5,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,blur_7,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,brightness_p10,4,28,14.285714285714286,4,28,14.285714285714286,0,0
ltp,transform,brightness_p20,5,28,17.857142857142858,5,28,17.857142857142858,0,0
ltp,transform,brightness_p25,6,28,21.428571428571427,6,28,21.428571428571427,0,0
ltp,transform,color_8bit,1,28,3.5714285714285716,1,23,4.3478260869565215,5,0
ltp,transform,crop_60,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
ltp,transform,crop_70,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
