query_identity,candidate_identity,raw_distance,normalized_distance
Andrew_Caldecott,Andrew_Gilligan,9.947147,26.384005
Ahmed_Qureia,James_Kelly,15.011771,39.817510
Ahmed_Qureia,Cemil_Cicek,15.335005,40.674861
James_Kelly,Ralph_Lauren,15.362452,40.747661
Chris_Simon,Rhett_Warrener,15.389953,40.820606
Dennis_Erickson,Otto_Schily,15.446358,40.970216
Chris_Simon,Vicente_Fox_de_la_Concha,15.462065,41.011877
Imre_Kertasz,James_Kelly,15.497098,41.104800
Ahmed_Qureia,Wolfgang_Schwarz,15.556915,41.263461
Andrew_Caldecott,Michael_Diekmann,15.568048,41.292991
Alberto_Ruiz_Gallardon,Chuck_Hagel,15.596630,41.368801
Bob_Hartley,Dewayne_White,15.597782,41.371857
Hayden_Panettiere,Mira_Sorvino,15.635411,41.471665
Matt_Morris,Tino_Martinez,15.700577,41.644511
Hayden_Panettiere,Riek_Blanjaar,15.727128,41.714936
Jean_Nagel,Jodie_Henry,15.747135,41.768004
Ahmed_Qureia,Imre_Kertasz,15.748946,41.772807
Bob_Hartley,Kai-Uwe_Ricke,15.772182,41.834437
Dave_Williams,Prince_Felipe,15.777697,41.849065
Jodie_Henry,Prince_Felipe,15.778399,41.850927
